id,type,text1,text2,text3,notes
sun_ice_lighthexac,WEAPON,轻型六源自动炮是一种多功能武器，适用于抵御战机，摧毁敌人的导弹并对护盾目标施加压力。,点防御,,
sun_ice_hexac,WEAPON,重型六源自动炮是轻型的加强版。这种多功能武器适用于抵御战机，摧毁敌人的导弹并对护盾目标施加压力。,点防御,,
sun_ice_hexchain,WEAPON,六源链炮采用快速链式装填器。这种多功能武器适用于抵御战机，摧毁敌人的导弹并对护盾目标施加压力。,点防御,,
sun_ice_flamebolt,WEAPON,焰束加农炮受限于它极短的射程，但它一击所能达到的伤害强度足以弥补这个缺陷。,打击,,
sun_ice_hellblaze,WEAPON,狱烬加农炮受限于它极短的射程，但它一击所能达到的伤害强度足以弥补这个缺陷。,打击,,
sun_ice_wisp,WEAPON,磷火加农炮受限于它极短的射程，但它一击所能达到的伤害强度足以弥补这个缺陷。,打击,,
sun_ice_scatterpd,WEAPON,不同于大多数点防武器，这种特殊的发射仓擅长一次性摧毁成群来袭的导弹。,点防御,,
sun_ice_hypermassbomb,WEAPON,这种重型压缩弹丸在发射并击中后，通过其搭载的零素核心放电增加质量来提高伤害。,打击,,
sun_ice_boomerang,WEAPON,一种二级导弹，擅长绕过敌舰的护盾系统。,近程支援,,
sun_ice_boomerangpod,WEAPON,一种二级导弹发射仓，擅长绕过敌舰的护盾系统。,近程支援,,
sun_ice_mobiusray,WEAPON,被冠名莫比乌斯的射线武器将发射一串手动制导的死亡射流，一个熟练的炮手可以轻易绕过敌舰的护盾系统。,突击,,
sun_ice_tractorbeam,WEAPON,顾名思义，这种光束将对方船只拉近。,多用途,,
sun_ice_minepod,WEAPON,区域封锁武器在浩瀚的宇宙中并不总能起作用，但这种武器能迅速散布跟踪机雷的能力无比宝贵。,区域封锁,,
sun_ice_gandiva,WEAPON,异常迅速且高机动的巡航导弹，可远程投射重量级火力输出。,火力支援,,
sun_ice_chupacabra,WEAPON,从敌舰处吸蚀装甲，并将其用于武器自身附近装甲的重构。,突击,,
sun_ice_nos,WEAPON,从敌舰处吸蚀装甲，并将其用于武器自身附近装甲的重构。,打击,,
sun_ice_falx,WEAPON,削减击中舰船的护盾弧度，为友军在敌军防御上制造突破口的支援性武器。,多用途,,
sun_ice_pulserepeater,WEAPON,立刻激发大量难以规避的脉冲弹，对任何射程内的目标进行猛烈的能量轰炸。,突击,,
sun_ice_gravity,WEAPON,激发定向引力波发生装置，产生连续冲击对目标的结构造成破坏，能轻微地推动小型目标。,突击,,
sun_ice_ricochet,WEAPON,核心偏转组件的工作机理仍未明确，但这不妨碍这种重型武器成为装甲和结构的毁灭者。,突击,,
sun_ice_spitfire,WEAPON,发射一种小而迅捷的鱼雷，对失去护盾的大型目标造成无法挽回的沉重打击。,打击,,
sun_ice_nova,WEAPON,一种实验性装置，能为舰船提供巨量能源来维持它那令人印象深刻的高速装甲重构矩阵。,多用途,,
sun_ice_hypermassdriver,WEAPON,超质量驱动装置发射所产生的动能是如此的恐怖如斯，以至于发射后的船只将承受一次动能震荡。,打击,,
sun_ice_fissiondrill,WEAPON,在船体上覆盖一层能量体，摧毁所有碰触到的目标。可以彻底穿透目标(包括护盾/装甲/结构),打击,,
sun_ice_fissionblade,WEAPON,特殊的射程校准器使这种特殊武器只能由特种刀刃舰船使用。,突击,,
sun_ice_fissionblademini,WEAPON,特殊的射程校准器使这种特殊武器只能由特种刀刃舰船使用。,突击,,
sun_ice_bladeofalpha,WEAPON,由限制器泄能阀改造而成的激光武器，在特殊情况下可以采用极具毁灭能力的打击模式。,突击,,
,,,,,
sun_ice_palantir,SHIP,"伊甸海军中沉默的观察者，专门负责侦查角色。尽管毫无防御力，真知级因为低耗，低成本，低部署的优势以及后勤能力依旧被认为是有实用价值的。

全舰完全围绕一套引力子传感设备构筑，使得这种近乎纯粹的探测平台能够将全部能量专注于扫描战场或遥测附近的舰队。",,,
sun_ice_seraph,SHIP,"不像幻像精灵级那样拥有飞行甲板和武器插槽的炽天使级，是伊甸海军唯一专门用于维修的船只。由于它们完全没有防御能力，除非它们的指挥官已经措手不及或陷入绝境它才会出现在战线最前沿。",,,
sun_ice_specter,SHIP,"魔影级是伊甸海军的中坚战力，旨在适应几乎所有战斗角色。其多功能的武器槽可依据不同的装配方案来扮演各种角色。",,,
sun_ice_flashghast,SHIP,"闪魂级的决定性特征毫无疑问是它的速度，因此伊甸指挥官很少使用其它舰船护卫目标或拦截逃军。除此之外，一对闪灵级无人机能提供更多点防御支援。",,,
sun_ice_athame,SHIP,"一种尚处于实验阶段的可怕护卫，封仪祭剑级的特征是它舰首成脊状的裂变电钻。锥形壳使它能以猝不及防的极高速穿刺目标。",,,
sun_ice_nightseer,SHIP,"夜觅者级将伊甸的战船设计理念发挥到了极致。以一艘驱逐舰的装备和使其拥有强于大部分护卫的机动性的改进版短程相位隐形系统，它可以轻松穿行于战场并随心屠杀。夜觅者级的相位系统在进入相位空间时能制造一个短暂的引力井，吸引并完全摧毁附近的弹药。",,,
sun_ice_pentagram,SHIP,"凭借其非常规设计，原型五芒星级抛弃了传统战术理念转而利用这种纯粹的蛮力。一些舰长能利用牵引光束的战略操作性展示出无与伦比的战果，不过多数舰长只遵循一个简单的战术:揪住敌舰直到它爆炸。",,,
sun_ice_pentagram_utility,SHIP,"现广泛流通的五芒星级在被蓝图重构之后保守了许多，是能够控制大片区域的防御性角色，而且实验性地搭载了大量能量槽位。尽管分散的火力使它在一对一作战中落于下风，但完全无火力死角的设计让它成为了反袭扰的不二选择。",,,
sun_ice_shiekwraith,SHIP,"凭借其敌我识别信号(FOFS)逆变器，尖叫怨灵级提供了独特的点防能力，可以干扰并重编码敌我的导弹系统使其攻击指定目标。在舰体正中内置的镰刀射线提供了广角度的长程护盾压制能力。舰首的两个钳形结构通常装上两门聚变射线，以用于弥补自身缺乏的装甲重构能力。",,,
sun_ice_soulbane,SHIP,"伊甸海军的战争典范，灵魂祸根级的价值体现在其不影响防御持久力而追求极速和极限火力的设计理念。比起称为驱逐不如说它是迷你巡洋舰，这种致命的设计自身就可以同大它三倍的舰船一决雌雄。",,,
sun_ice_eidolon,SHIP,"一切为了续航，幻象精灵级在全力战斗时依旧能够维持一个小型舰队的后勤需求。",,,
sun_ice_kelpie,SHIP,"罕见的原型，熟悉它的人称它为芬里厄的胃。这种极其少见的洪灾鬼马级在伊甸舰队中扮演了一种非常规的角色，它能轻易干掉小于自身的目标，但往往也会对自身及周围的友军造成间接伤害，舰长们通常会因此而打消将其编入舰队的想法。",,,
sun_ice_kelpie_utility,SHIP,"现在常见的洪灾鬼马级是伊甸住民对于现代战争的一种妥协。它在卸除了所有内置武器和一套减震装置后成为了战场上的重火力杀手，能轻易反制同规格乃至更大的对手，而且实验性地搭载了大量能量槽位。不少人认为这一次改造丢失了它的神髓，但是相比象征意义，击溃对手然后活下来才是第一要务。",,,
sun_ice_voidreaver,SHIP,"毁灭性的前置火力和偏转来袭弹体的能力使虚空劫掠者级在一对一战斗中成为无敌的存在。在外行们看来，这能力会被巨大的后勤需求所掩盖，但那些见识过它的行动的人知道，它赤裸裸的力量弥补了它在灵活性和舰种泛用性上的不足。",,,
sun_ice_shalom,SHIP,"一些伊甸住民直到流亡开始才见识到外面的世界。佑安级殖民母舰更类似于一个小型轨道空间站而非深空探索舰。不同于伊甸舰队的大部分舰船，佑安级不适合短途旅行，而是适合涉及数千人，数十年的远征。没有这些城市般的庞然大物作为后勤基地，伊甸的流亡者舰队在逃亡后不久就会陷入绝境。",,,
sun_ice_apocrypha,SHIP,"凭借一套泛用战术支持机制，外典级诠释了什么是指挥舰。它独有的内置战术分析模块和可以召回友军的传送矩阵给予了外典辅助舰队无可匹敌的战术布置能力和指挥力。飞行甲板和检修无人机为战机连队和更大型的船只保障了战斗续航，配备的一系列抢眼的导弹挂载点能进一步为友军提供多种支援。",,,
sun_ice_abraxas,SHIP,"祝死秘神级战列舰是集攻防于一体的伊甸核心舰种，一系列鲜为人知的工程技术搭载在它的舰船核心上，虽然这造成了能源效率低下，但也使它成为了拥有独特且广泛作用的作战工具。它的核心设计，无论是从实用意义还是象征意义来看都非新星反应堆莫属。这种实验性装置为祝死秘神级的装甲重构能力所需的巨量能源需求提供了极大的支持。",,,
sun_ice_ectoplasm_wing,SHIP,"幻翼联队的首选用途是在航母舰队中迅速护卫指定目标。幻翼所带的装备能使它们压制各种目标，除了最重型的战斗机。当然在面对大型舰船时是无能为力的。",,,
sun_ice_poltergeist_wing,SHIP,"鬼驱人护航联队通常用于弥补伊甸舰队的点防缺口。此外前置自动炮可以对敌舰护盾施加极大的压力。",,,
sun_ice_stormwhisp_wing,SHIP,"一种不错的突击联队，私语风暴在战场上成对巡航，采用典型的伊甸舰队战术来绕过目标护盾，躲避正面火力，从侧翼打击敌人。私语风暴主要依靠其相位曲速隐形技术和镰刀射线来提高生存力而不是依靠护盾和装甲回复。携带机载炮为它们提供了足够的高爆火力来穿透目标的厚重装甲。",,,
sun_ice_umbra_wing,SHIP,"全影级超重型轰炸联队因其非比寻常的防御外壳而脱颖而出。当它包裹核心时可提供超高效的防护力，但清空负荷时必须暴露脆弱的内部结构，此时任何伤害都是极其严重的。",,,
sun_ice_echo_wing,SHIP,"回响级攻击连队能够让航母在最远距离提供强力火力支援，这种无人机使用最简单的火力覆盖策略扫净沿途的一切敌人，但却被脆弱的结构和极度低效的耗散能力所限制。",,,
sun_ice_drone_pd_wing,SHIP,"闪灵级无人机采用严格的控制链接以维持与母舰的同步机动，它内置的特殊撒播者PD能够缓慢回填并持续进行防空火力覆盖。",,,
,,,,,
